group,file,id,step_idx,question,baseline_epoch,final_epoch,final_flip,efficacy,specificity,repr_step_answer_before_mean,repr_step_answer_after_mean,repr_step_answer_delta_mean,repr_step_answer_before_last4,repr_step_answer_after_last4,repr_step_answer_delta_last4,repr_answer_removed_before_mean,repr_answer_removed_after_mean,repr_answer_removed_delta_mean,repr_answer_removed_before_last4,repr_answer_removed_after_last4,repr_answer_removed_delta_last4,attn_answer_to_step_before_mean,attn_answer_to_step_after_mean,attn_answer_to_step_delta_mean,attn_answer_to_step_before_last4,attn_answer_to_step_after_last4,attn_answer_to_step_delta_last4,attn_answer_to_prefix_before_mean,attn_answer_to_prefix_after_mean,attn_answer_to_prefix_delta_mean,attn_answer_to_prefix_before_last4,attn_answer_to_prefix_after_last4,attn_answer_to_prefix_delta_last4,attn_answer_to_post_step_before_mean,attn_answer_to_post_step_after_mean,attn_answer_to_post_step_delta_mean,attn_answer_to_post_step_before_last4,attn_answer_to_post_step_after_last4,attn_answer_to_post_step_delta_last4,warnings_before,warnings_after
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s0.out,MDSA_2009_8_2,1,The period of rotation for each planet in our solar system is different. The period of rotation for Earth is,0,5,0,99.862838,100.000000,0.688352,0.680669,-0.007683,0.763191,0.764273,0.001082,0.998573,0.998653,0.000080,0.997855,0.997210,-0.000645,0.016782,0.016431,-0.000351,0.006145,0.006397,0.000252,0.695374,0.693604,-0.001770,0.646484,0.645508,-0.000977,0.287659,0.289856,0.002197,0.347168,0.348633,0.001465,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s0.out,Mercury_7212993,1,Which of these gases is the most abundant greenhouse gas in the lower atmosphere of Earth?,0,5,0,92.106090,100.000000,0.649928,0.645482,-0.004447,0.807015,0.798905,-0.008110,0.997433,0.996925,-0.000508,0.996708,0.996112,-0.000596,0.048401,0.048105,-0.000296,0.010017,0.009552,-0.000465,0.659546,0.654236,-0.005310,0.650391,0.640625,-0.009766,0.292404,0.297668,0.005264,0.340820,0.351074,0.010254,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s0.out,AKDE&ED_2008_8_47,3,"As stream velocity decreases, which factor will likely increase?",0,5,0,99.261399,100.000000,0.660578,0.668789,0.008211,0.749440,0.778088,0.028648,0.997909,0.996765,-0.001144,0.997109,0.995678,-0.001431,0.011355,0.012185,0.000830,0.004805,0.005692,0.000887,0.689209,0.687439,-0.001770,0.593750,0.606445,0.012695,0.299133,0.300720,0.001587,0.401367,0.388184,-0.013184,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s0.out,Mercury_7212818,1,Scientists present the results of their investigations to others for review because,0,5,0,98.926171,100.000000,0.720927,0.668231,-0.052696,0.786410,0.707572,-0.078838,0.996495,0.994170,-0.002324,0.995441,0.987591,-0.007850,0.018911,0.016219,-0.002693,0.014648,0.008499,-0.006149,0.648285,0.629944,-0.018341,0.609375,0.492188,-0.117188,0.332932,0.353836,0.020905,0.376953,0.500000,0.123047,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s0.out,Mercury_7171605,1,Students are observing two fossils in a lab. They are told by the teacher that the fossils were found in different rock layers. What can the students most likely determine from just observing the fossils?,0,5,0,97.267301,100.000000,0.670628,0.673412,0.002783,0.784229,0.798491,0.014262,0.998547,0.997886,-0.000662,0.997943,0.996252,-0.001692,0.015651,0.015441,-0.000210,0.007172,0.008980,0.001808,0.739807,0.721069,-0.018738,0.664062,0.591797,-0.072266,0.244904,0.263809,0.018906,0.329102,0.398926,0.069824,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s0.out,Mercury_7249708,1,Which immune system function is carried out by antibodies?,0,5,0,99.084945,100.000000,0.613419,0.604834,-0.008586,0.789573,0.787568,-0.002004,0.997465,0.996882,-0.000583,0.996312,0.995117,-0.001195,0.061377,0.061140,-0.000237,0.005405,0.006767,0.001362,0.673889,0.652893,-0.020996,0.639648,0.543945,-0.095703,0.264206,0.285751,0.021545,0.354492,0.449219,0.094727,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s0.out,Mercury_7043820,6,"When cold temperatures are produced in a chemical reaction, the reaction is known as",0,5,0,99.992141,95.000000,0.647489,0.599576,-0.047913,0.734645,0.551430,-0.183214,0.998210,0.997559,-0.000652,0.997242,0.994435,-0.002808,0.002927,0.002525,-0.000401,0.002647,0.000889,-0.001759,0.671753,0.655273,-0.016479,0.591797,0.522949,-0.068848,0.325287,0.342667,0.017380,0.406250,0.476074,0.069824,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s0.out,Mercury_405873,3,Which statement best describes how the Internet has helped improve life for many people?,0,5,0,97.523138,100.000000,0.706073,0.705777,-0.000296,0.796167,0.803982,0.007815,0.996163,0.996589,0.000425,0.994412,0.996624,0.002211,0.039553,0.039137,-0.000416,0.014969,0.016083,0.001114,0.749390,0.755005,0.005615,0.683594,0.695312,0.011719,0.210571,0.205582,-0.004990,0.302246,0.288086,-0.014160,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s0.out,Mercury_180005,7,The best description of the troposphere is the layer of the atmosphere with the,0,5,0,98.815257,100.000000,0.609043,0.598611,-0.010432,0.782520,0.740821,-0.041699,0.996642,0.996319,-0.000323,0.995697,0.991667,-0.004030,0.037795,0.035474,-0.002321,0.006783,0.007153,0.000370,0.754517,0.748291,-0.006226,0.692383,0.655273,-0.037109,0.207840,0.216202,0.008362,0.300781,0.338379,0.037598,,
critical_lora_causal_cot_i09,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s0.out,Mercury_7064575,7,Coal-powered plants are designed specifically to convert,0,5,1,99.649419,100.000000,0.648900,0.646860,-0.002039,0.763453,0.739578,-0.023875,0.998948,0.997701,-0.001247,0.998417,0.995848,-0.002569,0.005903,0.006206,0.000303,0.002766,0.003170,0.000404,0.658142,0.652405,-0.005737,0.620117,0.624023,0.003906,0.335968,0.341476,0.005508,0.376953,0.372559,-0.004395,,
