dataset,model,method,run_type,stepwise,lr,seed,pos,ff2,suffix,file,rows,unique_instances,unique_adapter_ids,agree_rows,epoch0_rows,specificity_rows,new_cot_rows,final_epoch_max,ff_hard_pct,ff_hard_agree_pct,question_final_ff_hard_pct,question_any_epoch_ff_hard_pct,agree_question_final_ff_hard_pct,agree_question_any_epoch_ff_hard_pct,ff_soft_pct_mean,ff_soft_pct_median,ff_soft_agree_pct_mean,answer_changed_pct,cot_prediction_changed_pct,answer_margin_drop_mean,answer_margin_drop_agree_mean,efficacy_mean,efficacy_median,efficacy_p10,efficacy_p90,cot_prob_drop_mean,cot_logprob_drop_mean,cot_step_prob_drop_mean,cot_step_prob_drop_median,cot_step_logprob_drop_mean,specificity_mean,loss_start_mean,loss_final_mean,loss_min_mean,loss_drop_mean,loss_drop_median
arc-challenge,Phi-3,npo_KL,sentencize,True,0.0003,1001,True,False,supp_phi3_arc_alllinear_lr3e4_postcleanup_s0,npo_KL_sentencize_s=True_lr=0.0003_rs=1001_pos=True_ff2=False_supp_phi3_arc_alllinear_lr3e4_postcleanup_s0.out,547,146,547,487,547,547,547,5,10.054844606946983,8.008213552361395,23.28767123287671,23.972602739726025,20.155038759689923,20.930232558139537,7.067110314957595,-0.0408309204469659,6.487950347018974,10.054844606946983,16.270566727605118,0.9476913257546589,2.4270311829834212,90.1139582980942,93.98578454061466,77.31585176905476,99.13561033069605,48.240153813323644,0.7484462116274581,90.1139582980942,93.98578454061466,2.9960420586277734,99.83546617915906,13.862943649291992,0.21379141278490016,0.20897998469260265,13.649152236507092,13.719478473067284
arc-challenge,Phi-3,npo_KL,sentencize,True,0.0003,1001,True,False,supp_phi3_arc_alllinear_lr3e4_postcleanup_s1,npo_KL_sentencize_s=True_lr=0.0003_rs=1001_pos=True_ff2=False_supp_phi3_arc_alllinear_lr3e4_postcleanup_s1.out,393,114,393,365,393,393,393,5,13.231552162849871,11.78082191780822,25.438596491228072,25.438596491228072,24.03846153846154,24.03846153846154,8.939940339599026,0.18118833435853965,9.399554784641564,13.231552162849871,17.048346055979643,3.3634034899709015,5.520612827274529,89.65989648429762,92.73224249084339,77.8417283284641,98.6786554791053,47.710469774233886,0.7412339522486728,89.65989648429762,92.73224249084339,2.8035037140658186,99.87277353689568,13.862943649291992,0.22628156046451806,0.22035234055597971,13.636662088827475,13.715443715453148
arc-challenge,Phi-3,npo_KL,sentencize,True,0.0005,1001,False,False,critical_lora_causal_cot_i09_s0,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s0.out,21,19,21,21,21,21,21,5,14.285714285714285,14.285714285714285,15.789473684210526,15.789473684210526,15.789473684210526,15.789473684210526,10.978599563403856,0.22726673033814926,10.978599563403856,14.285714285714285,14.285714285714285,4.095261335980671,4.095261335980671,98.07770852285901,98.92617106478038,95.1696687499003,99.86283801980362,67.08528624455093,1.293439554316657,98.07770852285901,98.92617106478038,4.8502212301606225,99.04761904761905,15.249238014221191,0.1621393064657847,0.12095690554096586,15.087098707755407,15.075757190585136
arc-challenge,Phi-3,npo_KL,sentencize,True,0.0005,1001,False,False,critical_lora_causal_cot_i09_s1,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=False_ff2=False_critical_lora_causal_cot_i09_s1.out,21,18,21,20,21,21,21,5,14.285714285714285,10.0,16.666666666666664,16.666666666666664,11.76470588235294,11.76470588235294,8.014404483985041,-0.29670739376798094,7.376543055721117,14.285714285714285,14.285714285714285,6.026112040359865,6.0418259339621345,95.57923952817842,96.88424274927169,90.52097836295144,99.69718832975718,58.61517179889203,0.9530468767597562,95.57923952817842,96.88424274927169,3.945017042259375,98.80952380952381,15.249238014221191,0.14372682766545386,0.11986768547268141,15.105511186555738,15.107679173350334
arc-challenge,Phi-3,npo_KL,sentencize,True,0.0005,1001,True,False,critical_lora_baseline_i09_s0,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=True_ff2=False_critical_lora_baseline_i09_s0.out,20,18,20,20,20,20,20,5,25.0,25.0,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,15.43705601826365,1.3006476454799465,15.43705601826365,25.0,25.0,9.035617912429725,9.035617912429725,98.9169755654596,99.33772570121718,97.01410259675369,99.90735634473643,73.14231305426888,1.5845109581947328,98.9169755654596,99.33772570121718,5.200826316326856,99.25,13.862943649291992,0.1588943937793374,0.13214842714369296,13.704049255512654,13.717223577201366
arc-challenge,Phi-3,npo_KL,sentencize,True,0.0005,1001,True,False,critical_lora_baseline_i09_s1,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=True_ff2=False_critical_lora_baseline_i09_s1.out,21,18,21,20,21,21,21,5,19.047619047619047,20.0,16.666666666666664,16.666666666666664,17.647058823529413,17.647058823529413,12.785677402330904,0.07607958014800298,15.151149928117283,19.047619047619047,23.809523809523807,3.0457428823979718,6.623460877520176,97.90096344880554,99.33732410552305,93.04206115606078,99.96366285660821,69.0612502493224,1.293944783153988,97.90096344880554,99.33732410552305,5.4811561444685575,99.28571428571429,13.862943649291992,0.1562946770517599,0.12369637617043086,13.706648972240233,13.745510965585709
arc-challenge,Phi-3,npo_KL,sentencize,True,0.0005,1001,True,False,critical_lora_causal_cot_i09_unfiltered_pos_s0,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=True_ff2=False_critical_lora_causal_cot_i09_unfiltered_pos_s0.out,547,146,547,487,547,547,547,5,15.539305301645337,15.195071868583163,32.87671232876712,32.87671232876712,31.782945736434108,31.782945736434108,11.20726103390001,0.15283513196225895,12.39099197740647,15.539305301645337,23.40036563071298,3.1170668040218854,6.048726861089719,96.72919198470804,98.85768203885453,92.75567701725146,99.92561479086508,67.24185905685907,1.317697984100042,96.72919198470804,98.85768203885453,4.772427727926312,98.37294332723948,15.249238014221191,0.20312215038107018,0.170213675695102,15.046115863840122,15.115964904427528
arc-challenge,Phi-3,npo_KL,sentencize,True,0.0005,1001,True,False,critical_lora_causal_cot_i09_unfiltered_pos_s1,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=True_ff2=False_critical_lora_causal_cot_i09_unfiltered_pos_s1.out,393,114,393,365,393,393,393,5,24.93638676844784,24.383561643835616,42.98245614035088,42.98245614035088,42.30769230769231,42.30769230769231,17.810449790655515,1.2984277116710907,19.42260942634591,24.93638676844784,29.262086513994912,4.600691670861835,7.898464897640057,96.65503028785876,98.40461345709176,92.52688956824993,99.87171418690768,65.95900212642573,1.2771114346028587,96.65503028785876,98.40461345709176,4.439042409791898,98.46055979643766,15.249238014221191,0.23294812969806541,0.1973576984621831,15.016289884523125,15.115780517458916
arc-challenge,Phi-3,npo_KL,sentencize,True,0.0005,1001,True,False,critical_lora_repr_i09_s0,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=True_ff2=False_critical_lora_repr_i09_s0.out,20,18,20,20,20,20,20,5,20.0,20.0,16.666666666666664,22.22222222222222,16.666666666666664,22.22222222222222,14.7095452281421,1.2360249666569956,14.7095452281421,20.0,20.0,8.544743264235931,8.544743264235931,98.89961619301761,99.35337297771349,97.03325302798721,99.89911719755061,73.07764319333604,1.5802790105342865,98.89961619301761,99.35337297771349,5.178372686356306,99.25,15.249238014221191,0.15985989440232515,0.13412766717374325,15.089378119818866,15.101011022925377
arc-challenge,Phi-3,npo_KL,sentencize,True,0.0005,1001,True,False,critical_lora_repr_i09_s1,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=True_ff2=False_critical_lora_repr_i09_s1.out,21,18,21,20,21,21,21,5,19.047619047619047,20.0,16.666666666666664,16.666666666666664,17.647058823529413,17.647058823529413,13.263024729419183,0.09155608729327636,15.67083357196256,19.047619047619047,23.809523809523807,3.7839277667297444,7.416466261275159,97.84833222852706,99.3382411010545,93.00951392368705,99.96400352522177,68.89566911733901,1.2896541484764643,97.84833222852706,99.3382411010545,5.458042257953258,99.52380952380952,15.249238014221191,0.1585425908366839,0.12764201126992702,15.090695423384508,15.125339850783348
