dataset,model,method,run_type,stepwise,lr,seed,pos,ff2,suffix,file,rows,unique_instances,unique_adapter_ids,agree_rows,epoch0_rows,specificity_rows,new_cot_rows,final_epoch_max,ff_hard_pct,ff_hard_agree_pct,question_final_ff_hard_pct,question_any_epoch_ff_hard_pct,agree_question_final_ff_hard_pct,agree_question_any_epoch_ff_hard_pct,ff_soft_pct_mean,ff_soft_pct_median,ff_soft_agree_pct_mean,answer_changed_pct,cot_prediction_changed_pct,answer_margin_drop_mean,answer_margin_drop_agree_mean,efficacy_mean,efficacy_median,efficacy_p10,efficacy_p90,cot_prob_drop_mean,cot_logprob_drop_mean,cot_step_prob_drop_mean,cot_step_prob_drop_median,cot_step_logprob_drop_mean,specificity_mean,loss_start_mean,loss_final_mean,loss_min_mean,loss_drop_mean,loss_drop_median
arc-challenge,Phi-3,npo_KL,sentencize,True,0.0005,1001,True,False,test_firstk16_only_diag_s0,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=True_ff2=False_test_firstk16_only_diag_s0.out,547,146,547,487,547,547,547,5,17.36745886654479,14.989733059548255,37.67123287671233,37.67123287671233,34.10852713178294,34.10852713178294,13.448514375954856,0.04916512391256456,12.651384776369465,17.36745886654479,21.572212065813527,3.9765085985878894,6.185862566715695,96.88505657157533,98.93069104465563,92.65425770176364,99.94332337636708,67.38809205785395,1.3301081508670471,96.88505657157533,98.93069104465563,4.846989336483167,99.10420475319927,13.862943649291992,0.18660711878450958,0.14468394921346817,13.676336530507482,13.71422454714775
arc-challenge,Phi-3,npo_KL,sentencize,True,0.0005,1001,True,False,test_firstk16_only_diag_s1,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=True_ff2=False_test_firstk16_only_diag_s1.out,393,114,393,365,393,393,393,5,23.155216284987276,21.643835616438356,43.859649122807014,43.859649122807014,41.34615384615385,41.34615384615385,16.519047986291746,0.8153046207643011,17.168584051205382,23.155216284987276,25.954198473282442,4.705507798445105,7.5965945388175795,96.92048585618349,98.54007187010824,92.99146421871872,99.90567502844225,66.8681968387364,1.3161598896707287,96.92048585618349,98.54007187010824,4.573292839238965,99.05852417302799,13.862943649291992,0.18959431273450378,0.14893929841371287,13.673349336557488,13.708712592720985
arc-challenge,Phi-3,npo_KL,sentencize,True,0.0005,1001,True,False,test_firstk1_only_diag_s0,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=True_ff2=False_test_firstk1_only_diag_s0.out,547,146,547,487,547,547,547,5,11.70018281535649,8.829568788501026,29.45205479452055,29.45205479452055,23.25581395348837,23.25581395348837,6.567466425080218,-0.13136393278598835,6.197530336216393,11.70018281535649,16.087751371115175,-0.5834547974818008,1.1770889394149202,87.09637307304895,94.58388292821382,63.83836182238181,99.77667892554949,53.55865403358165,0.9607164639659512,87.09637307304895,94.58388292821382,3.3079124576526215,99.09506398537476,13.862943649291992,0.36958662040490775,0.3580256202539099,13.493357028887084,13.531171530485153
arc-challenge,Phi-3,npo_KL,sentencize,True,0.0005,1001,True,False,test_firstk1_only_diag_s1,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=True_ff2=False_test_firstk1_only_diag_s1.out,393,114,393,365,393,393,393,5,15.012722646310433,13.424657534246576,28.07017543859649,28.07017543859649,25.0,25.0,8.389825799459473,-0.07399342250853369,8.69766243563687,15.012722646310433,18.575063613231553,-0.8611826735690458,1.4190240320273502,86.42975450293814,94.15802349428198,62.39780082355789,99.5817875283689,52.98090387702695,0.9690992964891381,86.42975450293814,94.15802349428198,3.0717837081762367,99.0203562340967,13.862943649291992,0.3178004536009927,0.31017229696569854,13.545143195690999,13.578214526176453
arc-challenge,Phi-3,npo_KL,sentencize,True,0.0005,1001,True,False,test_firstk2_only_diag_s0,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=True_ff2=False_test_firstk2_only_diag_s0.out,547,146,547,487,547,547,547,5,12.979890310786105,10.882956878850102,34.24657534246575,34.24657534246575,28.68217054263566,28.68217054263566,7.945221771062618,-0.11983759549138995,7.807759075828737,12.979890310786105,18.46435100548446,0.5282624679763961,2.483719839375502,89.21074983873602,96.16513235265307,67.94367627299157,99.90313982447827,56.84319754269624,1.0581357640365796,89.21074983873602,96.16513235265307,3.7002992350165433,98.93967093235831,13.862943649291992,0.2802905867615173,0.2574592069390705,13.582653062530476,13.6205203384161
arc-challenge,Phi-3,npo_KL,sentencize,True,0.0005,1001,True,False,test_firstk2_only_diag_s1,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=True_ff2=False_test_firstk2_only_diag_s1.out,393,114,393,365,393,393,393,5,15.267175572519085,13.424657534246576,29.82456140350877,29.82456140350877,26.923076923076923,26.923076923076923,8.562883410389823,-0.06608386300345215,8.613538830487157,15.267175572519085,18.06615776081425,-0.07183869683918985,1.918723564286189,88.42653385648451,95.46908055771732,67.54042828482349,99.74311670350889,55.80502057865001,1.0514337717728457,88.42653385648451,95.46908055771732,3.402216282054668,98.95674300254453,13.862943649291992,0.2789350754887093,0.26631290471280805,13.584008573803283,13.623299315571785
arc-challenge,Phi-3,npo_KL,sentencize,True,0.0005,1001,True,False,test_firstk4_only_diag_s0,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=True_ff2=False_test_firstk4_only_diag_s0.out,547,146,547,487,547,547,547,5,15.173674588665447,12.525667351129362,36.986301369863014,36.986301369863014,31.007751937984494,31.007751937984494,10.099888441324433,-0.08194503926149954,9.440444584531427,15.173674588665447,19.195612431444243,1.8220278674707238,3.5993516552689573,91.7233947030474,97.26402326159453,75.70825093972726,99.93367716174737,60.74688992306416,1.1573499711928463,91.7233947030474,97.26402326159453,4.064259573374577,99.04936014625228,13.862943649291992,0.20366294093266593,0.1708253376267619,13.659280708359326,13.691168129444122
arc-challenge,Phi-3,npo_KL,sentencize,True,0.0005,1001,True,False,test_firstk4_only_diag_s1,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=True_ff2=False_test_firstk4_only_diag_s1.out,393,114,393,365,393,393,393,5,19.84732824427481,17.534246575342465,35.96491228070175,35.96491228070175,33.65384615384615,33.65384615384615,13.062170227902381,0.11290532086776217,12.970097860242275,19.84732824427481,21.62849872773537,2.1468876397263577,4.046773987769155,91.29643591317992,96.75896254341538,78.9514887738729,99.85837488528408,59.20834400550665,1.1416325991541982,91.29643591317992,96.75896254341538,3.791948307106513,98.91857506361323,13.862943649291992,0.20899243140948637,0.1753260550437538,13.653951217882506,13.696013808250427
arc-challenge,Phi-3,npo_KL,sentencize,True,0.0005,1001,True,False,test_firstk8_only_diag_s0,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=True_ff2=False_test_firstk8_only_diag_s0.out,547,146,547,487,547,547,547,5,17.550274223034734,14.784394250513348,39.04109589041096,39.04109589041096,34.10852713178294,34.10852713178294,12.687050923302792,0.006262183377403474,11.867460503657412,17.550274223034734,21.206581352833638,3.0676246226227106,5.355703654932282,95.23915520819313,98.59307845451352,87.03393923889553,99.94085076877695,65.27626330714006,1.2673428209542792,95.23915520819313,98.59307845451352,4.574887127303936,99.07678244972578,13.862943649291992,0.20405779727198306,0.1628270044623171,13.65888585202001,13.698437422513962
arc-challenge,Phi-3,npo_KL,sentencize,True,0.0005,1001,True,False,test_firstk8_only_diag_s1,npo_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=True_ff2=False_test_firstk8_only_diag_s1.out,393,114,393,365,393,393,393,5,22.391857506361323,20.54794520547945,42.98245614035088,42.98245614035088,40.38461538461539,40.38461538461539,15.703814167926351,0.43593303463110855,16.293775307296332,22.391857506361323,24.93638676844784,3.2957918039062153,6.150825526830562,95.04531804898346,98.02806974031417,89.00188145061368,99.88445736777906,64.29693752017178,1.2487394731615034,95.04531804898346,98.02806974031417,4.27307835365373,99.09669211195929,13.862943649291992,0.21441873477691306,0.17810699080162073,13.648524914515079,13.694618910551071
